지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
266,광양시,2023-10-01,20.3,16.5,2310,26.4,1501,,,,,,,7.6,270,1234,3.7,290,1315,1.4,1249,290,10.3,32,1448,55.4,12.8,1003.9,1017,2357,1011.6,347,1014.1,11.9,9.5,1200,3.01,20.71,,,,,,2.1,.3,25.7,13.8,22.3,22.6,23.4,23.8,,,,,,4.4,6.2,,,
266,광양시,2023-10-02,19.5,13.9,435,25.2,1555,,,,,,,6,90,1333,2.8,70,1206,1,867,70,9,31,1232,52.3,11.5,1007.6,1019.6,923,1015.7,1456,1017.9,11.8,9.6,1200,3.06,19.29,,,,,,5.6,2.3,25.5,13.2,21.6,21.8,22.6,23.1,,,,,,4.1,5.8,,,
266,광양시,2023-10-03,18.2,15.1,2349,20.6,1334,,.3,1614,.4,1610,.6,7.8,70,314,3.9,70,909,1.6,1412,70,12.7,54,925,71.5,14.8,1007.4,1019.1,1107,1015.7,1622,1017.7,11.8,0,1300,.72,4.23,,,,,,8.1,4.8,18.6,14.4,19.7,20.1,21.6,22.5,,,,,,1.1,1.5,,,
266,광양시,2023-10-04,19.6,13.3,422,27.2,1442,,,,,,,7.7,290,2319,4.3,290,2328,1.2,1071,290,12.7,34,1355,67.4,14.8,1003.9,1017,5,1011.5,1615,1014.2,11.7,8.5,1100,2.84,18.37,,,,,,6.5,1.4,25,12.9,21,21.1,21.4,21.7,,,,,,4,5.7,,,
266,광양시,2023-10-05,17.7,13.6,2316,23.4,1530,,,,,,,10,290,311,5.6,290,2011,2.4,2113,290,4.8,27,1321,43.9,8.7,1004.8,1017.6,2200,1012.5,306,1015.2,11.7,8.2,1200,2.98,19.35,,,,,,5.5,1,24,12,21.3,21.5,22.1,22.1,,,,,,4,5.8,,,
266,광양시,2023-10-06,16,11.9,445,20.8,1430,,,,,,,4.1,270,1408,2.4,270,1409,.6,511,320,7.7,36,1307,58.9,10.6,1008.4,1020.2,946,1016.9,28,1018.8,11.7,.4,1200,1.64,10.07,,,,,,9.5,5.8,18.9,11.5,18.9,19.2,20.5,21.3,,,,,,1.8,2.6,,,
266,광양시,2023-10-07,17.4,15,253,20.2,1324,,.2,,.6,1907,1.5,6.6,50,2314,3.4,70,908,1.3,1109,70,10.6,44,927,66.1,13,1011.3,1023.5,2139,1020,9,1021.7,11.6,0,1000,1.24,6.51,,,,,,10,5.4,19.3,14.5,18.8,19.1,20.2,20.8,,,,,,1.7,2.4,,,
266,광양시,2023-10-08,18.1,15.7,214,21.5,1410,,.1,,.3,125,.5,11.8,110,1420,6.1,70,1442,3.2,2771,70,12.2,54,1246,68.9,14.2,1011.1,1023.1,1,1020,1443,1021.4,11.6,2.3,1200,2.7,10.02,,,,,,8.5,5.6,18.5,15.1,18.9,19.1,19.9,20.4,,,,,,2.8,4,,,
266,광양시,2023-10-09,19.9,17,618,25.3,1244,,,,,,,9.2,50,106,4.7,70,155,1.6,1368,90,13.6,53,1246,67.6,15.7,1008.9,1020.8,1,1017.2,1537,1019.1,11.6,3.7,1100,2.42,11.9,,,,,,7.9,3.8,22.9,14.7,20,20.2,20.5,20.6,,,,,,2.2,3.1,,,
266,광양시,2023-10-10,18.9,14.4,719,24.2,1253,,,,,,,7.6,290,12,4.2,290,16,1.2,1047,290,10.6,36,1235,60.5,12.8,1010.1,1022.8,2338,1018.7,1328,1020.4,11.5,7.9,1200,2.84,17.12,,,,,,5.4,.5,24.3,12.3,20.6,20.7,20.9,20.9,,,,,,3.2,4.6,,,
266,광양시,2023-10-11,19.2,14.6,429,23.9,1351,,,,,,,9.4,70,1034,4.5,70,742,2.1,1791,90,9.5,40,1357,54.4,11.9,1013.6,1025.4,907,1022.5,1508,1024,11.5,9,1200,2.79,18.2,,,,,,1.8,1.3,24.8,12.5,20.8,21,21.1,21.1,,,,,,4,5.8,,,
266,광양시,2023-10-12,17.8,12.4,628,23.7,1436,,,,,,,8.1,90,1327,4.3,70,1335,1.3,1091,90,7.6,32,1331,53,10.5,1013.6,1026.3,926,1021.8,1524,1024,11.5,8.9,1200,2.82,18.08,,,,,,3.1,0,23,10.6,20.2,20.5,20.9,21.1,,,,,,3.6,5.2,,,
266,광양시,2023-10-13,18.5,14,654,23.5,1204,,,,,,,5.4,90,1124,3.3,70,1312,.7,622,70,10.6,40,1309,61,12.9,1007.6,1023.3,1,1014.6,2355,1017.9,11.4,3.4,1100,2.15,13.12,,,,,,8.1,0,21.6,13.1,20.3,20.4,20.8,20.9,,,,,,2.3,3.3,,,
266,광양시,2023-10-14,18.4,14.5,658,24.6,1348,,,,,,,7,270,1303,3.8,250,1311,1.1,984,290,11.1,39,1114,64.1,13.3,1000.6,1014.6,1,1008.2,1602,1010.9,11.4,7.5,1200,2.57,15.59,,,,,,6.3,0,23.6,13.6,20.9,21.1,21.3,21.1,,,,,,3,4.3,,,
266,광양시,2023-10-15,16.9,12.4,557,23.4,1446,,,,,,,9.6,270,1238,4.2,320,1211,1.8,1531,290,10.8,48,1432,69,12.9,1001.4,1014.4,2324,1009.7,337,1011.7,11.4,6.1,1000,2.25,13.71,,,,,,3,0,19.6,11.3,19.4,19.7,20.5,20.8,,,,,,2.5,3.6,,,
266,광양시,2023-10-16,16.7,12.6,2351,23.1,1453,,,,,,,10.8,320,2001,6,270,1942,2.3,2028,270,8.5,37,1534,60.6,11.2,1005,1017.1,2330,1013.5,1418,1015.4,11.3,9.2,1200,2.75,17.95,,,,,,.8,0,22,10.9,19.2,19.5,20.1,20.3,,,,,,3.9,5.5,,,
266,광양시,2023-10-17,16.1,8.8,613,25.1,1537,,,,,,,5.8,270,1814,3,290,1809,.9,801,290,5.7,26,1514,52.9,9.1,1008.6,1021.2,2323,1017.1,1,1019,11.3,9.1,1200,2.75,17.95,,,,,,0,0,21.9,7.5,18.6,18.9,19.6,20,,,,,,3.5,5,,,
266,광양시,2023-10-18,17.3,10.4,651,25.1,1529,,,,,,,5.9,230,1412,2.9,250,1356,1.1,982,290,9.2,23,1501,63.3,11.8,1010.1,1022.6,834,1018.2,1645,1020.5,11.3,9,1200,2.69,17.34,,,,,,2.1,.3,21.4,8.4,18.8,19.1,19.6,19.8,,,,,,3.7,5.3,,,
266,광양시,2023-10-19,18.2,13.5,534,24.9,1405,,.2,,.4,2305,.4,10,270,2316,4.6,270,2324,1.4,1208,250,13.3,51,1356,74.4,15.3,1006.4,1020.1,1,1014.3,1535,1016.7,11.2,4.8,1300,2.29,13.05,,,,,,8.1,3.9,21.2,11.3,19.7,19.9,20.1,20.1,,,,,,2.4,3.4,,,
266,광양시,2023-10-20,14,10.1,2245,19.5,1327,,.2,,.2,,.3,13.2,290,1440,6.8,290,1425,2.6,2235,290,4.5,30,1351,54.8,8.6,1006.5,1021.1,2347,1013.9,448,1017,11.2,7.5,1300,2.67,16.11,,,,,,3.5,2.5,18,8.7,18.8,19.2,20.1,20.3,,,,,,3.6,5.2,,,
