지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
266,광양시,2023-03-01,9.3,4.9,2354,16.1,1507,,,,,,0,12.2,290,2234,6,270,1619,2.4,2076,290,.4,32,2329,56,6.6,1010.8,1025,1,1017.3,1511,1021.6,11.4,2.6,1400,1.87,10.16,,,,,,4.5,2.6,11.9,1.7,11.3,9.7,9.4,8.9,,,,,,2.4,3.5,,,
266,광양시,2023-03-02,4.6,.8,2400,10.6,1452,,,,,,,10.5,290,1111,6.7,270,1605,3.4,2903,290,-11.7,15,1426,31.5,2.6,1015.8,1028.9,2256,1024.1,2,1026.8,11.5,10.5,1200,2.98,20.38,,,,,,0,0,9.4,-2.1,7.4,7.8,8.5,8.5,,,,,,3.9,5.6,,,
266,광양시,2023-03-03,6.7,-1.6,652,15.3,1618,,,,,,,8,270,2112,4.8,270,2121,1.6,1376,320,-9.4,17,1140,32.5,3,1016.6,1030,907,1024.4,1605,1027.5,11.5,10,1200,2.9,19.33,,,,,,2.4,0,10.6,-3.6,8.3,7.8,8.2,8.1,,,,,,3.3,4.7,,,
266,광양시,2023-03-04,9,3.4,418,16.1,1508,,,,,,,5,90,1142,3,90,1155,1.2,1023,290,-3.6,26,1510,41.9,4.7,1017.2,1029.3,918,1025.9,1549,1028,11.5,7,1300,1.98,13.24,,,,,,5.1,.3,11,.3,9.7,8.8,8.9,8.6,,,,,,2.2,3.2,,,
266,광양시,2023-03-05,9.4,3.8,542,16.3,1355,,,,,,,6.2,250,1755,2.9,230,1803,1.3,1084,290,1,27,1415,57.9,6.6,1016.7,1030.2,843,1024.8,1645,1027.5,11.6,9.8,1200,2.68,17.09,,,,,,2.1,0,11.9,.3,10.1,9.5,9.3,8.9,,,,,,2.6,3.7,,,
266,광양시,2023-03-06,10.7,4,705,18.4,1417,,,,,,,8.4,230,1630,5.1,250,1321,1.5,1300,250,1.5,23,1144,57.6,6.9,1013.4,1026.9,827,1021,1706,1024.1,11.6,10.5,1200,2.84,19.45,,,,,,0,0,13.7,.4,11.6,10.4,10,9.5,,,,,,3.7,5.2,,,
266,광양시,2023-03-07,12.7,6.4,326,20.3,1609,,,,,,,7.3,230,1214,4.3,230,1223,1.9,1635,250,3.9,36,1558,57,8.1,1012,1024.5,932,1020.5,1611,1022.6,11.6,8.9,1200,2.58,16.29,,,,,,1.1,.5,14.3,2.7,13.1,11.2,10.8,10.1,,,,,,3,4.4,,,
266,광양시,2023-03-08,14.1,7.6,722,20,1425,,,,,,,8.4,200,1441,4.6,200,1441,1.8,1557,230,4.5,27,1343,55.4,8.5,1010.7,1023.8,842,1019.1,1731,1021.3,11.7,10.4,1200,2.69,18.16,,,,,,4.1,1.4,16.4,3.1,14.5,12.2,11.6,10.8,,,,,,3.2,4.6,,,
266,광양시,2023-03-09,16.4,13.1,50,22.5,1613,,,,,,.5,6.1,250,1257,3.7,230,1259,1.3,1093,250,10.1,39,2342,68.4,12.6,1005.7,1019.7,2,1012.8,1502,1016.1,11.7,6.4,1300,2.47,14.18,,,,,,3.6,3.1,18.3,8.1,17.6,14.6,13.5,12.1,,,,,,2.6,3.7,,,
266,광양시,2023-03-10,14.5,8.7,705,21.9,1423,,,,,,,5.2,50,1318,3.5,70,1304,1.3,1100,90,4.4,31,1425,52.4,8.5,1010,1022.8,2346,1018.1,1,1020.6,11.7,10,1200,2.7,18.52,,,,,,0,0,17.7,4.7,15.7,14,13.4,12.6,,,,,,3.2,4.6,,,
