지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
266,광양시,2023-05-01,16.8,10.4,558,23.3,1626,,,,,,,10.7,270,313,5.6,290,313,2.2,1879,290,3.2,21,1119,43.5,7.7,1006.9,1021.8,2319,1012.7,309,1017.3,13.6,12,1200,3.58,28.37,,,,,,.5,0,18.6,7,17.3,17.3,17.2,16.7,,,,,,5.9,8.4,,,
266,광양시,2023-05-02,16.8,10.2,425,23.6,1427,,,,,,,5,160,1346,3,180,1444,1.2,1078,160,4.4,25,1408,46.3,8.4,1013.2,1025.6,1106,1021.5,1,1023.7,13.6,10.2,1200,3.52,25.43,,,,,,5,.1,19.1,7.2,18.2,18.2,17.9,17.3,,,,,,4.7,6.7,,,
266,광양시,2023-05-03,16.7,12.4,116,20.5,1216,,0,,0,,0,4,160,1156,2.4,160,1210,.9,810,90,10.6,48,910,68.4,13,1012.5,1024.9,729,1021.3,1906,1023,13.7,.3,1200,1.57,9.34,,,,,,9.4,7.3,17.2,9.8,17.2,17.3,17.7,17.5,,,,,,1.6,2.3,,,
266,광양시,2023-05-04,16.2,15.4,1519,17,921,,2.4,2319,10.4,2300,28.6,9.1,140,1340,4.9,110,1800,2.3,1995,110,14.1,72,801,88.3,16.1,1006.1,1021.7,1,1012.7,2355,1016.5,13.7,0,900,.29,1.49,,,,,,10,6,16.1,15.4,16.5,16.7,17.2,17.1,,,,,,.5,.7,,,
266,광양시,2023-05-05,18.8,16.2,1,20.1,1934,,5.1,1116,21.1,1026,150.2,13,230,1047,5.9,230,2024,3.1,2683,230,18.6,98,958,99.1,21.4,995.5,1013,3,1002.5,2353,1005.7,13.7,0,1300,.25,1.2,,,,,,9.4,5.6,18.4,16.1,17.8,17.6,17.3,16.9,,,,,,.4,.6,,,
266,광양시,2023-05-06,16.3,13.2,2354,19.7,35,,2.8,814,5.5,747,9,11.5,50,2206,6.6,70,2203,2.5,2139,70,15.4,85,2332,95,17.8,994.9,1010.1,2343,1000.8,434,1005.2,13.7,.1,900,1.23,3.96,,,,,,9,5.6,17.5,13,17.9,18.1,18.2,17.8,,,,,,1,1.4,,,
266,광양시,2023-05-07,11.6,10.2,2359,13.2,1,,.5,1239,1.7,1239,4.8,16.1,70,1407,7.4,70,1501,4,3448,70,8.7,70,1906,82.8,11.3,1000.1,1014.5,2357,1008.9,1502,1010.7,13.8,0,1400,.55,4.38,,,,,,8.1,4.3,12.9,7.8,13.9,14.4,15.8,16.3,,,,,,1.4,2,,,
266,광양시,2023-05-08,14.3,7.5,527,21.5,1616,,,,,,,5.9,90,1024,3.2,90,941,1.5,1304,90,5.7,28,1134,60,9.2,1006,1018.8,2316,1014.4,105,1016.5,13.8,11.7,1200,3.42,25.78,,,,,,5.4,0,17.1,5.2,15.5,15.5,15.4,15.3,,,,,,4.2,6,,,
266,광양시,2023-05-09,17.2,8.8,519,25.5,1525,,,,,,,5.4,230,1400,3,160,1323,1.3,1095,290,8.3,32,1530,59.6,11,1006.1,1019.1,637,1013.5,1721,1016.5,13.8,10.6,1200,3.52,24.39,,,,,,.9,.1,19.3,6.6,17.8,17.6,17.2,16.5,,,,,,4.5,6.4,,,
266,광양시,2023-05-10,18.7,12.4,542,26.3,1308,,,,,,,6,160,1344,2.9,90,1214,1.3,1083,290,6.8,23,1123,48.8,10,1006.2,1018.4,2356,1014.5,1617,1016.5,13.8,10.2,1200,3.6,25.6,,,,,,3.8,.1,18.8,9,18.8,18.9,18.4,17.7,,,,,,4.8,6.9,,,
266,광양시,2023-05-11,18.3,12.2,543,24.7,1337,,,,,,,5.7,110,1000,3.3,70,909,1.3,1130,90,11.4,43,1123,66.1,13.6,1008.5,1020.2,2242,1017.5,1633,1018.8,13.9,10.5,1100,3.16,24.51,,,,,,5.3,.5,21.1,9.6,19.6,19.5,18.9,18.2,,,,,,4,5.7,,,
266,광양시,2023-05-12,17.6,12.7,359,23,1241,,0,,0,,0,7,250,1626,3.1,70,1034,1.4,1218,200,10.4,33,1001,64.6,12.7,1007.5,1019.6,1,1015.9,1706,1017.8,13.9,4.2,1200,2.53,18.95,,,,,,8.4,7,19.8,9.9,19.1,19.1,19.2,18.6,,,,,,3.2,4.6,,,
266,광양시,2023-05-13,16.3,13.2,619,20.7,1559,,.1,,.2,,.4,5.8,140,1227,3.3,110,1422,1.5,1338,90,13.3,64,1600,83.4,15.3,1003.1,1018.4,2,1010.5,1722,1013.5,13.9,4.1,1400,2.6,17.38,,,,,,7.4,3.6,20.5,13.5,19.4,19.3,19.3,18.7,,,,,,2.7,3.9,,,
