지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
266,광양시,2023-07-01,23.7,21.8,2400,27.2,1551,,0,,0,,0,3.7,90,734,2.3,290,2050,.8,727,250,22.6,78,1526,94,27.4,996.9,1009.5,2251,1003,148,1006.9,14.5,.2,1300,1.76,7.55,,,,,,6.6,5.3,25.8,21.1,25.3,25.2,25,24.5,,,,,,1.4,2,,,
266,광양시,2023-07-02,25,21.8,1,30.5,1613,,,,,,,5.4,250,1741,3,230,1741,1,862,230,22.5,64,1700,87,27.3,999.2,1010.9,803,1007.4,1517,1009.2,14.5,4.9,1300,2.88,18.63,,,,,,6.8,4.8,27,21.9,26.5,26.4,25.7,24.9,,,,,,3.4,4.8,,,
266,광양시,2023-07-03,26.1,23.2,700,29.8,1320,,.1,,.2,,.2,5.4,50,604,3.2,70,611,1.3,1113,70,23,70,1452,83.9,28,996.7,1009.4,1,1005.1,1754,1006.6,14.5,3.3,1300,2.72,18.34,,,,,,8.3,4.5,28.6,23,27.7,27.5,26.8,25.8,,,,,,3,4.3,,,
266,광양시,2023-07-04,23.2,22.6,956,24.3,224,,4.4,1608,7,1528,35.8,6.1,90,517,2.8,90,425,1.4,1179,70,22.5,89,635,96.3,27.3,993.2,1006.6,1,999,2351,1003.2,14.5,0,1300,.28,2.13,,,,,,9.4,5.3,24.5,23.3,25,25.2,25.8,25.7,,,,,,.6,.9,,,
266,광양시,2023-07-05,26.2,23,2350,31.2,1618,,2.9,445,9.8,351,20.7,8.4,270,1137,4.1,290,1427,1.8,1597,270,22.4,51,1652,81.6,27.1,987.9,1002.1,2358,995.6,610,997.8,14.4,7.5,1400,3.25,23.62,,,,,,4.6,3.8,28.2,21.8,27.2,27,26.2,25.3,,,,,,4.5,6.4,,,
266,광양시,2023-07-06,25.5,20.5,532,31.9,1518,,,,,,,5.2,200,1653,2.9,200,1610,1.2,1017,250,20.8,47,1324,77.4,24.6,994.1,1005.5,2322,1002.1,1,1004.1,14.4,7.3,1300,3.02,22.37,,,,,,7.1,.8,27.5,20,27,26.9,26.6,25.9,,,,,,3.9,5.6,,,
266,광양시,2023-07-07,22.3,21,1513,24.1,922,,11.3,1544,32,1501,58.1,8.9,90,1502,5.2,70,1453,1.4,1248,90,21.2,88,2006,93.8,25.2,993.5,1005.5,746,1001.6,1525,1003.6,14.4,0,1100,.47,2.61,,,,,,9.8,3.4,23.7,21.4,24.4,24.7,25.6,25.6,,,,,,.6,.9,,,
266,광양시,2023-07-08,23.5,20.9,8,26.1,1825,,.4,1416,.9,1356,1.7,2.9,70,1331,1.7,90,1325,.5,391,70,22.7,90,1157,95.5,27.7,993.9,1005.6,2239,1002.7,1112,1003.8,14.4,.1,1100,1.1,6.29,,,,,,8.1,4.3,24.5,21.8,24.3,24.4,24.6,24.4,,,,,,1.2,1.6,,,
266,광양시,2023-07-09,25.1,23.5,449,26.4,1255,,1.9,439,4.8,417,4.8,5.5,250,1331,2.9,250,2309,.8,674,230,24.3,91,1301,95.4,30.3,995,1006.4,2254,1003.5,1426,1005,14.4,0,1000,.72,4.66,,,,,,8.5,6.6,26.1,23.6,25.6,25.5,25.3,24.8,,,,,,1,1.4,,,
266,광양시,2023-07-10,26.4,23.4,820,30,1602,,.3,758,.3,708,.3,11.1,290,725,5,290,728,1.5,1338,250,24.2,73,1422,88.8,30.2,996.4,1008.3,2242,1005,836,1006.3,14.4,4.3,1400,2.26,16.4,,,,,,7,4,28.4,22.8,27.1,26.9,26.2,25.4,,,,,,2.9,4.2,,,
