지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
266,광양시,2023-02-01,5.7,.4,2358,14.1,1404,,,,,,,15.5,250,1512,7.9,270,1506,3.1,2691,290,-4.2,21,1514,53.8,4.7,1007,1023.1,2359,1014.5,1354,1017.9,10.5,7.8,1300,2.21,12.97,,,,,,6.9,1,5.5,-1.6,5.6,4.6,4.4,4.1,,,,,,3.1,4.5,,,
266,광양시,2023-02-02,3,-1.9,738,9.3,1538,,,,,,,6.7,270,250,4.7,270,257,1.6,1402,290,-11.7,14,1421,35.1,2.5,1013.7,1027.2,959,1022.9,1510,1024.8,10.5,8.2,1100,2.08,12.64,,,,,,6.1,1.9,3.5,-4.6,3.5,4,4.5,4.5,,,,,,2,2.9,,,
266,광양시,2023-02-03,3.1,-.5,2336,10,1320,,,,,,,11.3,290,1829,6.1,290,1811,2.3,1953,290,-13,12,1455,31.8,2.3,1010.9,1023.8,1,1019.2,1549,1021.9,10.5,8.1,1200,2.27,13.2,,,,,,3.9,1.6,4.7,-4.3,4.8,4.4,4.6,4.6,,,,,,3,4.3,,,
266,광양시,2023-02-04,2.6,-1.7,538,9.2,1545,,,,,,,10,290,1436,5.8,270,1414,2.5,2139,290,-10.4,24,1227,38.5,2.8,1013.3,1026.4,2320,1022.3,54,1024.4,10.6,9.2,1100,2.34,14.73,,,,,,,0,3,-5.2,3.3,3.9,4.5,4.6,,,,,,2.3,3.3,,,
266,광양시,2023-02-05,3.5,-2.6,746,11.7,1535,,,,,,,4.9,140,1614,3.1,110,1623,1.2,1025,290,-8.7,17,1447,43.8,3.2,1013.9,1027.1,1002,1022.1,1630,1025,10.6,9.3,1200,2.41,15.18,,,,,,.6,0,3.3,-5.5,3.4,3.9,4.4,4.5,,,,,,2.4,3.5,,,
266,광양시,2023-02-06,4.9,-1.3,703,11.5,1335,,,,,,,4,90,1321,2.8,110,1324,1,877,270,-9.2,16,1347,38,3.1,1010.9,1024.6,159,1018.9,1722,1021.8,10.6,3.9,1200,2.07,9.9,,,,,,7.4,3.8,2.7,-5,2.7,3.8,4.3,4.4,,,,,,1.8,2.6,,,
266,광양시,2023-02-07,8.1,1.9,736,15.9,1452,,,,,,,4.9,90,1127,3.1,70,1132,1.3,1151,270,-5.3,17,1612,41.4,4.3,1009,1021.7,2400,1018,1415,1019.8,10.7,7.9,1200,2.41,13.82,,,,,,2.9,.8,6.2,-3.4,6.3,5.4,5.2,5,,,,,,2.4,3.5,,,
266,광양시,2023-02-08,7,1.7,752,13.7,1352,,,,,,,10.4,290,1303,6.1,320,1727,2.2,1870,270,-7.2,17,1600,39.4,3.6,1014,1027.7,2355,1021.7,1,1024.9,10.7,9,1200,2.42,15.27,,,,,,2.6,0,6,-3.4,6.3,5.8,5.8,5.6,,,,,,3.7,5.2,,,
266,광양시,2023-02-09,6.3,2.5,2359,10.6,1232,,,,,,12.1,11.5,50,2355,6.9,70,2029,3,2575,90,-4.4,27,931,49.8,4.7,1015.3,1029.8,847,1021.5,2356,1026.2,10.7,3.5,1100,1.86,9.93,,,,,,8.3,5.9,5.8,-2.2,5.4,5.7,6,5.9,,,,,,1.9,2.7,,,
266,광양시,2023-02-10,6.1,2,106,12.9,1319,,,,,,36.6,12.6,70,40,6.2,70,48,2.5,2127,290,1.7,50,1543,75.5,7,1008.3,1022.4,2301,1016.6,1438,1019.2,10.8,6.8,1300,2.62,14.37,,,,,,4.8,2.6,7.6,.5,7.7,6.7,6.5,6.1,,,,,,2,2.8,,,
