지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
266,광양시,2023-06-01,17.8,15.5,1008,18.8,1346,,5.9,1001,13.6,927,14.4,5.3,70,117,2.8,90,1533,.8,705,90,15.1,51,203,85.3,17.4,997.1,1011.6,1,1004.5,2359,1007.3,14.3,0,1300,.69,4.35,,,,,,8.8,4.6,19.5,15.1,19.8,20.2,20.9,21.2,,,,,,1.2,1.7,,,
266,광양시,2023-06-02,23.4,18.2,1,30.5,1418,,.3,107,.7,35,1,10.5,290,1620,4.7,290,1450,1.5,1282,290,17.3,36,1536,71.9,19.9,991.6,1004.5,1,999.4,1409,1001.5,14.4,11.4,1200,3.56,29.01,,,,,,3,.5,26.2,17.6,24.1,23.8,22.5,21.4,,,,,,5.7,8.2,,,
266,광양시,2023-06-03,22,16,551,28.5,1353,,,,,,,7.4,230,2121,4.8,270,2129,1.6,1406,320,14.2,42,1825,62.8,16.2,998.1,1011.3,2225,1004.4,11,1008.2,14.4,10.7,1300,3.7,25.48,,,,,,1.8,.5,23.9,15,23.5,23.5,23.3,22.6,,,,,,4.9,6.9,,,
266,광양시,2023-06-04,22.7,16.8,403,28.4,1609,,,,,,,11.6,270,1441,4.4,290,1428,1.9,1652,290,10.3,27,1347,46.8,12.6,1001.3,1012.8,823,1009.5,1711,1011.4,14.4,9.3,1200,3.18,25.52,,,,,,6.9,1.9,23,13.6,22.8,22.9,22.7,22.6,,,,,,5.3,7.5,,,
266,광양시,2023-06-05,22,19.1,540,26.1,1557,,,,,,,8.2,290,1407,4,290,1414,1.7,1454,270,13.1,44,1356,57.9,15.2,1001.4,1013.2,915,1010.4,1729,1011.5,14.4,1.2,1200,2.2,16.75,,,,,,9.1,3.5,22.3,17.4,22.8,22.8,23,22.5,,,,,,3.5,5,,,
266,광양시,2023-06-06,21.2,17.6,532,26.6,1524,,0,,0,,0,5.8,230,52,3,90,1137,1.5,1294,250,15.7,51,1518,72.1,17.9,997.5,1011.2,18,1005.1,1616,1007.6,14.4,9.3,1200,3.58,26.74,,,,,,4.6,2.4,25.4,16.8,24.8,24.4,23.7,22.9,,,,,,4.6,6.6,,,
266,광양시,2023-06-07,22.2,16.3,517,28.7,1509,,,,,,,6.3,250,1510,3.6,250,1628,1.4,1214,230,16.1,47,1510,70.6,18.3,999.6,1010.8,740,1008.3,1725,1009.7,14.4,11.6,1300,2.84,24.54,,,,,,7.1,1,26.1,14.7,24.9,24.7,24.4,23.5,,,,,,4.3,6.2,,,
266,광양시,2023-06-08,21.8,18,451,26.9,1403,,,,,,,5.5,250,2038,3.1,230,2040,1.5,1264,250,16.8,51,1608,75.4,19.1,996.1,1009.8,1,1003.5,1806,1006.2,14.4,7.3,1300,3.24,22.29,,,,,,6.9,1.9,26.6,17.9,25.8,25.7,25.1,24,,,,,,3.9,5.5,,,
266,광양시,2023-06-09,22.1,17.3,303,28.6,1513,,,,,,,5.7,160,1420,3.6,230,1751,1.4,1233,200,17.7,51,1411,78,20.2,995.3,1007.5,2230,1004.3,1410,1005.3,14.5,8,1200,3.65,24.76,,,,,,3.9,2.8,27.2,16.9,26.4,26.1,25.5,24.4,,,,,,4.8,6.8,,,
266,광양시,2023-06-10,23,19.1,506,27.5,1540,,0,,0,,0,7.6,180,1711,4.3,160,1720,1.7,1444,140,18.8,55,1541,78.3,21.7,996.5,1007.3,510,1005.1,1715,1006.5,14.5,7.2,1500,2.44,21.44,,,,,,5.8,4.5,28.8,18.7,26.7,26.6,26,25,,,,,,3.5,5,,,
