지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
266,2020-01-01,.5,-5.4,518,6.7,1320,,,,,,,5.7,270,1328,4.7,270,1329,1.6,1371,-10.2,29,413,44.8,3,1020,1032.7,329,1029.1,1445,1031.1,9.9,8.9,1200,2.01,11.81,,,,,,1.3,.1,1.2,-8,.9,2,4.2,4.5,,,,,,1.6,2.3,,
266,2020-01-02,3.7,-1,624,10,1419,,,,,,,7.6,270,1551,4.9,270,1556,1.3,1149,-5.6,32,1432,51.5,4,1017.7,1030.9,841,1026.6,1421,1028.5,9.9,8.5,1200,1.86,10.77,,,,,,.6,0,2.5,-5.9,2.4,3.1,4.3,4.3,,,,,,1.7,2.4,,
266,2020-01-03,5.3,2.2,720,10.3,1346,,,,,,,5.8,270,1317,4.4,270,1250,1.9,1609,-3.7,34,1354,53.4,4.7,1014.9,1028,1,1023.4,1418,1025.6,9.9,8.6,1200,1.96,10.99,,,,,,0,,3.2,-2.5,3.4,4.1,4.8,4.7,,,,,,1.7,2.5,,
266,2020-01-04,4.6,.1,512,10,1322,,,,,,,7.5,290,1433,5.5,290,1437,1.7,1443,-4.1,35,1307,54.4,4.5,1014.1,1027.5,2353,1022.5,1437,1024.9,9.9,8,1200,1.99,10.99,,,,,,2,1.1,3.1,-4.7,3.3,4.1,5.1,5,,,,,,2,2.8,,
266,2020-01-05,5.8,.4,739,10.7,1529,,,,,,,3.6,70,1212,2.8,70,1219,.6,491,-7.2,16,1506,42.5,3.7,1018.9,1031.6,1001,1027.4,21,1029.7,9.9,8.3,1200,2.09,11.86,,,,,,3,1.9,3.1,-5.8,3.4,4.3,5.1,5,,,,,,1.7,2.5,,
266,2020-01-06,6.7,4.4,923,9,2355,,,,,,13.5,6.2,70,2152,4.7,70,2218,1.5,1263,2.4,38,13,76.3,7.6,1015.1,1030.1,2,1020.5,2353,1025.8,9.9,0,1200,.28,1.31,,,,,,9.5,4,5.3,2,5.4,5.4,5.7,5.5,,,,,,.4,.6,,
266,2020-01-07,12.1,7.6,454,16.7,1922,,,,,,36.5,12.8,270,2043,8.8,270,2051,1.5,1271,10.7,73,2143,91.5,13,1001.7,1020.5,1,1003.1,2235,1012.1,9.9,0,1200,.37,1.19,,,,,,8,,10.2,7.4,10.2,9.2,7.5,6.8,,,,,,.9,1.3,,
266,2020-01-08,5.9,3.7,2353,12.5,18,,,,,,.2,14.1,270,135,9.8,270,141,5.5,4755,.7,61,1059,69.4,6.5,1004.6,1021.9,2258,1003.9,16,1015.3,9.9,1.3,1100,1.27,3.97,,,,,,7.5,5.3,6.1,2,6.4,7.6,8.6,8.2,,,,,,1.3,1.9,,
266,2020-01-09,4.2,1.4,2334,9.4,1349,,,,,,,8.5,290,809,7.3,290,824,2.7,2347,-5,32,1444,52.4,4.2,1011.3,1023.6,2248,1020.4,1349,1022,10,6,1200,1.72,9.3,,,,,,6.5,.3,3.7,-1.4,3.9,4.9,6.5,6.5,,,,,,1.4,1.9,,
266,2020-01-10,3.9,-.9,519,10,1444,,,,,,,3.4,230,1527,2.8,230,1532,.8,696,-6,20,1557,50.9,3.9,1011.4,1025.2,936,1020.1,2339,1022.2,10,8.7,1200,2.08,12.12,,,,,,3.3,1.8,3.2,-5.6,3.3,4.2,5.6,5.7,,,,,,2,2.8,,
