지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
266,2020-01-11,5.2,0,702,10.8,1446,,,,,,,4.7,270,1559,4,290,1601,1.3,1104,-5.2,35,1446,47.4,4.2,1007.5,1021.5,1024,1015.8,1459,1018.2,10,8.2,1200,1.99,11.64,,,,,,5.8,1.9,4.2,-4.4,4.4,4.9,5.8,5.7,,,,,,2,2.9,,
266,2020-01-12,3.6,1.6,2256,6.7,1443,,,,,,,9.2,290,950,7.4,290,1000,3.4,2971,-5.8,38,1444,50.3,4,1006.6,1020.1,2234,1015.6,1434,1017.3,10,7.8,1200,2.11,11.32,,,,,,5.3,2.4,3.5,-1.7,3.5,4.5,5.9,5.8,,,,,,1.8,2.6,,
266,2020-01-13,2.3,0,2236,7.1,1422,,,,,,,7.5,270,1340,5.5,290,1349,2.7,2346,-6.1,36,1406,53.9,3.9,1011.5,1025.4,2349,1019.2,109,1022.4,10,5.3,1300,2.06,9.29,,,,,,6.1,3.1,2.6,-3.1,2.7,3.5,5.1,5.1,,,,,,1.5,2.1,,
266,2020-01-14,2.1,-.2,608,6.2,1509,,,,,,0,4.8,290,1,3.6,290,2,1,855,-7.1,36,1529,51,3.6,1013.8,1026.8,2321,1022.7,1409,1024.7,10,4.1,1400,1.41,7.34,,,,,,4.9,3.3,2.9,-5,2.6,3.4,4.8,4.8,,,,,,1.2,1.7,,
266,2020-01-15,2.3,-1.4,736,7.3,1404,,,,,,,5.8,290,1424,4.4,270,1511,1.8,1549,-8.2,30,1420,47.1,3.3,1015.8,1028.7,1025,1024.6,1448,1026.7,10.1,8.3,1200,2.17,12.63,,,,,,2.8,0,2.4,-7.2,2.2,3.3,4.4,4.4,,,,,,1.8,2.6,,
266,2020-01-16,3.5,-.8,125,8.3,1530,,,,,,,2.5,70,2038,1.7,70,2045,.6,517,-9.7,21,1519,39.4,3,1014.3,1027.4,307,1022.7,1618,1025.1,10.1,7.2,1300,2.05,10.66,,,,,,8.3,4.9,3.3,-5.2,3.4,3.8,4.6,4.5,,,,,,1.4,2,,
266,2020-01-17,4.8,1.3,2353,10.2,1600,,,,,,,5,290,1821,4,290,1828,1.1,933,-12,13,1636,30,2.5,1010.4,1023.4,5,1018.7,1544,1021.1,10.1,7.7,1300,1.81,10.88,,,,,,5.6,4.6,4.4,-1.5,4.4,4.9,5.4,5.1,,,,,,2.3,3.3,,
266,2020-01-18,4.3,-.1,442,10.6,1445,,,,,,,6,290,1843,5.1,290,1826,1.7,1496,-12.1,14,1459,31.3,2.5,1008.9,1021,2244,1017.8,1514,1019.7,10.1,9.1,1200,2.17,13.1,,,,,,.8,.3,3.1,-6.6,3.3,4.1,5.1,5,,,,,,2.6,3.7,,
266,2020-01-19,4.2,.3,252,8.2,1328,,,,,,0,8,290,1339,5.4,270,1343,1.9,1643,-3.3,46,3,58.4,4.8,1009.1,1021.4,2328,1018.2,1338,1019.8,10.1,1.8,1200,1.17,6.04,,,,,,5,2,2.6,-4,2.5,3.5,4.8,4.8,,,,,,1,1.5,,
266,2020-01-20,4.3,1,659,9,1454,,,,,,,7.8,290,1626,5.7,290,1628,2.1,1787,-5.3,35,1245,50.5,4.1,1012,1025.9,2400,1020.8,116,1022.8,10.2,7.1,1200,1.81,10.75,,,,,,1.8,1.1,2.9,-4.1,2.9,3.4,4.5,4.5,,,,,,2,2.8,,
266,2020-01-21,3.6,-1.4,738,8.6,1406,,,,,,,4.3,290,1,3.7,290,226,1.3,1156,-10.4,17,1604,36,2.8,1018.1,1031.1,1034,1025.9,1,1029,10.2,9.1,1200,2.29,13.83,,,,,,2.5,1.4,3.1,-6.3,3.1,3.7,4.5,4.4,,,,,,1.9,2.7,,
266,2020-01-22,6.2,3.5,214,8,2014,,,,,,14.5,6.1,70,2124,4.8,70,2126,.9,741,1.9,41,2,75.8,7.4,1013,1028.6,1,1019.5,2400,1023.7,10.2,0,1000,.18,.99,,,,,,9.9,3.6,4.7,1.8,4.8,4.7,5,4.7,,,,,,.4,.5,,
266,2020-01-23,8.6,6.6,527,11.2,1233,,,,,,1.5,4.6,90,52,3.4,70,10,.6,494,6.8,77,1240,89,9.9,1011.3,1025.2,2349,1019,56,1021.9,10.2,0,1200,1.19,4.76,,,,,,8.8,5.8,8.3,4.3,8.3,7.8,6.7,6.1,,,,,,.7,1,,
266,2020-01-24,9,4.4,739,13.6,1410,,,,,,,5.9,70,2344,4.8,50,2223,1.6,1348,.8,33,1257,59.8,6.6,1017.2,1030,2313,1025,11,1027.9,10.3,7.1,1200,2.1,11.73,,,,,,7.3,4.5,7.5,-1.1,7.4,7.5,7.5,6.9,,,,,,2.3,3.3,,
266,2020-01-25,8.8,7.6,717,11.1,1223,,,,,,,6.7,50,402,5.5,50,351,2.9,2468,2.3,56,1252,64.4,7.3,1017.7,1029.9,1025,1027.1,2010,1028.4,10.3,0,1200,1.21,5.09,,,,,,10,6.6,7,6.4,7.3,7.4,7.6,7.2,,,,,,1.2,1.8,,
266,2020-01-26,8.8,6.6,822,12.2,1338,,,,,,,9.6,50,2154,7.7,70,2022,3.7,3186,1.1,50,1250,58.8,6.6,1014,1027.9,1,1021.8,2334,1024.6,10.3,2.8,1300,1.5,7.39,,,,,,9.5,4,6.9,3.3,7.2,7.4,7.5,7.2,,,,,,2,2.8,,
266,2020-01-27,6.5,5.3,1345,8.5,3,,,,,,10,11.8,70,1354,8.9,50,326,4.9,4222,3.3,60,2,80.6,7.8,1004.4,1021.9,1,1012.3,1355,1015,10.3,0,1200,.25,1.54,,,,,,8.5,3.8,6,4.7,6,6.6,7.4,7.2,,,,,,.8,1.1,,
266,2020-01-28,8.9,6,557,14,1331,,,,,,0,6.3,50,103,4.7,50,104,1.6,1382,1.3,43,1312,59.9,6.7,1005.5,1017.6,2129,1014.1,57,1016.1,10.4,1.2,1200,1.91,7.51,,,,,,5.9,4.3,7.5,4.7,7.6,7.6,7.4,7.1,,,,,,1.3,1.9,,
266,2020-01-29,7,4.9,2351,10.1,1139,,,,,,1.5,3.2,290,43,2.5,290,51,.8,689,2.8,48,1154,76.3,7.5,1004.3,1017.4,1,1013.4,1458,1014.9,10.4,.1,1100,1.27,4.32,,,,,,7.3,5.3,7.3,3.5,7.3,7.6,8.1,7.6,,,,,,.7,1.1,,
266,2020-01-30,6.5,4.2,2307,12.1,1518,,,,,,.5,5.1,290,2104,4.4,290,2110,1.3,1104,.3,33,1522,67,6.3,1003.5,1017,2400,1012.5,1437,1014.2,10.4,5,1000,1.72,9.78,,,,,,6.8,3.3,7.3,1.5,7.1,7.5,8,7.7,,,,,,1.5,2.1,,
266,2020-01-31,5,2.1,2400,9.7,1332,,,,,,,6.9,270,1541,5.7,270,1544,2.3,1974,-3.1,35,1334,57,4.9,1008.8,1022.4,2327,1016.9,2,1019.5,10.5,7.6,1300,2.2,12.62,,,,,,2.3,.6,4.8,-1.9,4.7,5.8,7.2,7.2,,,,,,2,2.8,,
266,2020-02-01,4.8,0,609,10.2,1337,,,,,,,7,290,1428,4.8,290,1434,1.6,1375,-3.7,37,1351,54.9,4.7,1013.5,1025.6,1000,1022.3,2,1024.3,10.5,8.8,1200,2.25,13.41,,,,,,1.1,.3,3.8,-5,3.9,5,6.4,6.4,,,,,,1.9,2.7,,
266,2020-02-02,5.7,1.4,659,11.5,1606,,,,,,,6.7,290,2328,5.9,290,2335,1.9,1669,-5,20,1610,48.8,4.3,1013.9,1026.8,900,1022.2,1557,1024.6,10.5,8.9,1200,2.18,13,,,,,,3.9,.5,4.9,-2.7,4.9,5.6,6.4,6.2,,,,,,2.5,3.5,,
266,2020-02-03,4,.6,2357,8.3,1436,,,,,,,8.7,290,1227,6.7,290,1315,2.8,2436,-6.7,27,130,46.6,3.8,1014.6,1027.3,2242,1023.3,355,1025.4,10.5,8.4,1200,2.37,13.52,,,,,,2,.6,4.2,-3.5,4.1,5,6.3,6.2,,,,,,2.3,3.3,,
266,2020-02-04,3.3,-2.4,709,10.5,1517,,,,,,0,6.1,270,1524,4.1,270,1526,1.4,1179,-10.8,10,1503,38.9,2.8,1014.9,1027.9,815,1022.8,1532,1025.8,10.6,9.6,1200,2.44,15.43,,,,,,.1,0,3.6,-7.3,3.6,4.7,5.8,5.7,,,,,,2.6,3.7,,
266,2020-02-05,.4,-3.8,2345,4.4,1332,,,,,,,7.5,290,1801,5.9,290,1921,3.9,3345,-15.8,10,1550,33.1,2.1,1016.9,1031.6,2141,1024.9,422,1027.9,10.6,9.8,1200,2.56,16.2,,,,,,.9,.5,2.8,-5.6,2.7,4,5.5,5.6,,,,,,3.2,4.6,,
266,2020-02-06,-.1,-6,741,5,1455,,,,,,,3.8,290,133,3.2,290,133,1.1,955,-19.4,11,1349,22.6,1.3,1020.8,1034.3,905,1030.3,1531,1031.9,10.6,7.8,1200,2.42,13.92,,,,,,4.8,2.5,2.4,-10.1,1.9,3.1,4.6,4.6,,,,,,1.8,2.6,,
266,2020-02-07,3.7,0,819,9.4,1231,,,,,,,8.5,290,2006,7.4,290,2000,2,1700,-11.8,14,1229,32.9,2.5,1016.5,1031.1,21,1024.4,1547,1027.4,10.7,7.5,1200,2.1,12.68,,,,,,6,0,3.7,-5,3.6,4.3,5,4.8,,,,,,2.5,3.6,,
266,2020-02-08,3.7,.3,2356,8.2,1427,,,,,,,7.8,290,2105,6.2,270,1140,3.2,2776,-7.7,26,1541,43.5,3.4,1014.8,1027.6,2339,1023.3,1500,1025.6,10.7,9,1200,2.44,15.85,,,,,,1,.9,4.5,-3.5,4,4.7,5.4,5.2,,,,,,2.6,3.7,,
266,2020-02-09,3,-2.1,711,9.3,1512,,,,,,,6.2,270,1318,4.6,270,1319,1.8,1581,-9.6,17,1419,41,3,1014.3,1028.5,139,1022.1,1616,1025.2,10.7,9.7,1200,2.56,16.37,,,,,,0,0,3.8,-6.9,3.6,4.6,5.4,5.2,,,,,,2.4,3.4,,
266,2020-02-10,7.1,-.3,205,13.8,1346,,,,,,,7.3,270,1607,5.1,270,1534,1.8,1566,-5.2,18,1502,45.5,4.3,1013.2,1027.3,2400,1021.8,1511,1023.9,10.8,9,1300,2.28,14.38,,,,,,.6,.6,5.7,-5.1,5.4,5.5,5.8,5.4,,,,,,2.5,3.6,,
266,2020-02-11,8.8,1.4,719,14.2,1459,,,,,,0,3,140,1635,2.2,140,1638,.7,647,-2.6,23,1405,46.6,5.3,1017.1,1030,909,1025.5,2341,1027.8,10.8,6,1100,1.86,11.18,,,,,,6.1,1.9,6.6,-3.8,6.3,6.2,6.3,6,,,,,,1.8,2.5,,
266,2020-02-12,10.4,8.9,229,12.2,1405,,,,,,21,6.3,270,2015,5.4,270,2025,1.6,1396,8.3,67,6,87.9,11.1,1006.7,1025.6,9,1013.3,1454,1017.2,10.8,0,1200,.49,2.55,,,,,,9.6,7.1,9.4,7.8,9.3,8.9,8,7.2,,,,,,.7,1,,
266,2020-02-13,10.6,7.5,2156,16.2,1508,,,,,,,5.1,270,1513,3.7,270,1415,1.4,1241,5.8,46,1511,74,9.2,1008,1020.3,2149,1016.2,1,1018.5,10.9,7.7,1300,1.95,13.11,,,,,,5.9,4.1,10.4,1.7,10.2,9.8,9,8.3,,,,,,1.8,2.6,,
266,2020-02-14,11.4,6.6,233,18.6,1445,,,,,,0,2.9,110,1624,2.1,160,1514,.6,559,3.2,23,1447,60.9,7.7,1009.3,1023,2223,1017.6,1437,1019.8,10.9,9.7,1200,2.46,15.87,,,,,,3.4,1.1,10.3,2.5,10.3,10,9.4,8.8,,,,,,2.9,4.1,,
266,2020-02-15,12.5,8.1,46,17.3,1300,,,,,,.5,6.3,50,414,4.6,50,755,2,1709,5.2,40,1300,62.1,8.9,1007.8,1022.9,712,1011.9,2359,1018.2,10.9,4.8,1200,2.54,11.36,,,,,,8.4,4.5,10.2,4.2,10.7,10.3,9.9,9.3,,,,,,2.1,3.1,,
266,2020-02-16,3.8,-.3,2300,11.2,6,,,,,,4,11.6,270,1413,7.7,270,1351,4.6,3959,-2,46,1529,66.5,5.7,1002.3,1017.1,2217,1008.4,456,1013.1,11,2.2,1200,1.62,8.49,,,,,,9.4,6,7,-1.4,6.9,8.1,9.6,9.3,,,,,,1.6,2.3,,
266,2020-02-17,-.9,-3.2,2305,2.9,1304,,,,,,.2,9.7,290,913,7.1,270,914,4.4,3805,-8.1,41,1055,58.4,3.3,1007,1022.1,2339,1015.6,1456,1018,11,6.3,1200,2.19,13.25,,,,,,7.5,4.1,2.7,-4.2,2.7,4.4,6.9,7.1,,,,,,1.7,2.4,,
266,2020-02-18,1.2,-3.2,415,7.6,1534,,,,,,0,9,290,758,7,290,807,4,3471,-10.6,20,1520,43.6,2.8,1014.8,1028.8,2253,1021.9,19,1025.8,11,10.2,1200,2.8,18.42,,,,,,.8,.8,3.3,-4.1,3,4.2,6,6.1,,,,,,2.8,3.9,,
266,2020-02-19,5.3,-1.8,525,12.2,1503,,,,,,,3.1,160,1529,2.6,140,1531,.9,759,-6.4,21,1248,43.4,3.8,1018.1,1030.4,1035,1027.3,1520,1028.9,11.1,9.3,1200,2.67,16.95,,,,,,5.6,1.5,5.7,-6.5,5.1,5.7,6.2,6.1,,,,,,2.4,3.4,,
266,2020-02-20,8.7,2.9,738,14.6,1407,,,,,,,3.6,70,1117,2.7,70,1118,.9,766,-4.2,20,1408,42.1,4.5,1022,1035.3,2214,1029.2,12,1032.7,11.1,10.1,1200,2.62,16.94,,,,,,2.5,.8,8.3,-2.1,7.8,7.7,7.6,7.1,,,,,,3.1,4.4,,
266,2020-02-21,9.3,2.9,738,15.1,1335,,,,,,1,5.3,160,1431,4,160,1441,1,839,.9,40,1022,57.9,6.8,1019.8,1035.6,108,1024.2,2343,1030.5,11.1,8.2,1300,2.63,15.7,,,,,,5,.8,9.2,-2.1,8.9,8.4,8.2,7.7,,,,,,2.6,3.8,,
266,2020-02-22,8.2,3,2353,12.9,1348,,,,,,.5,10.2,270,1227,8.5,270,1529,3.9,3399,-3.2,25,1414,48.1,5.2,1014.8,1029.5,2319,1021.7,356,1025.5,11.2,9.4,1200,2.63,16.41,,,,,,2.1,1,9.1,.7,8.9,9.3,9.3,8.7,,,,,,3.8,5.5,,
266,2020-02-23,5.8,1,659,12,1600,,,,,,,5,270,121,3.5,290,130,1.8,1586,-5.7,24,1400,44.4,4,1018.2,1032.1,919,1026.6,1622,1029,11.2,10.3,1200,2.86,18.78,,,,,,0,0,7.6,-1.8,6.7,7.4,8.3,8.1,,,,,,2.6,3.7,,
266,2020-02-24,9.6,1.9,417,16.3,1351,,,,,,.1,5.8,250,1433,4.7,230,1435,1,838,-1.6,22,1401,47.3,5.7,1014.1,1027.7,857,1021.7,2351,1024.7,11.2,7.3,1200,2.77,16.2,,,,,,4.1,2.5,8.7,-3.4,8.3,8.2,8.3,8,,,,,,2.5,3.5,,
266,2020-02-25,9.9,8.1,2346,11.5,1202,,,,,,13.5,7.7,70,2234,6,70,2239,1.2,996,8.7,67,43,92.8,11.3,1005.1,1021.7,1,1011.7,1537,1015.6,11.3,0,1100,.13,.84,,,,,,9.9,6.3,9.9,7.3,9.9,10,9.7,9,,,,,,.6,.9,,
266,2020-02-26,10.2,6.4,2349,15.2,1559,,,,,,0,7.4,50,301,6.1,290,2150,2.5,2140,4.1,55,1912,66.6,8.3,1011.1,1024.2,2348,1017.5,1,1021.7,11.3,3.4,1300,2.28,10.56,,,,,,4.8,4.5,10.8,3.6,10.6,10.3,9.8,9.3,,,,,,1.8,2.5,,
266,2020-02-27,7.8,3.9,529,12.1,1243,,,,,,,6.6,70,951,4.8,70,956,1.8,1563,.7,46,1415,61.4,6.4,1016.8,1029.5,2248,1024.1,8,1027.6,11.3,4.7,1200,2.41,13.16,,,,,,6.6,5.5,8.9,1.8,8.6,8.7,9.4,9.1,,,,,,1.9,2.7,,
266,2020-02-28,6.4,5.7,1751,8.5,1312,,,,,,.6,5.3,50,924,4.3,70,933,1.8,1588,1.2,55,1251,69.9,6.7,1012.7,1028.4,1,1019.2,2400,1023.4,11.4,0,1000,.35,2.4,,,,,,8.3,4.6,6.4,3.7,6.4,7.4,8.8,8.7,,,,,,.8,1.2,,
266,2020-02-29,9.1,6,7,12.9,1459,,,,,,0,7.5,50,1050,6.5,50,1055,1.7,1499,3,52,1412,66.5,7.6,1006.7,1019.3,1,1015,1450,1017.2,11.4,1.7,1400,1.16,8.14,,,,,,6.1,3.3,8.9,1.6,8.4,8.3,8.7,8.3,,,,,,1.3,1.8,,
266,2020-03-01,9.7,6,523,14.1,1320,,,,,,.2,6.9,290,2355,5,290,2251,1.4,1191,3.5,49,1322,66.3,7.9,1007.7,1019.5,626,1016.3,1504,1018.2,11.4,3.3,1000,1.92,10.47,,,,,,7.5,5.8,9.7,1.3,9.5,9.1,8.9,8.5,,,,,,2,2.8,,
266,2020-03-02,8.1,3.7,644,14,1514,,,,,,,7.4,270,1223,5.8,270,1224,2.9,2494,-5,19,1422,41.5,4.3,1011.3,1025.3,2345,1018.9,9,1021.9,11.5,9.4,1200,2.93,18.28,,,,,,3.9,.6,8.5,1.3,8.1,8.6,9.3,8.8,,,,,,3.5,5,,
266,2020-03-03,9.2,6.1,323,13.1,1529,,,,,,,5.6,50,734,4.6,50,722,1.6,1397,1.1,46,1510,57.3,6.6,1013.4,1026.4,843,1022.1,2356,1024,11.5,4.2,1200,2.03,11.82,,,,,,8.1,5.4,8.6,1.9,8.3,8.6,9.2,8.9,,,,,,1.9,2.7,,
266,2020-03-04,5.9,.7,2256,11.4,1343,,,,,,0,9.8,290,1634,7.4,290,1755,3.8,3271,-5.9,19,1507,44.8,4.2,1010.9,1024.4,2253,1019.3,1518,1021.7,11.6,9.4,1200,2.96,19.52,,,,,,5.9,2.9,9,.1,8.6,9.2,9.7,9.3,,,,,,3.5,5,,
266,2020-03-05,4.8,-.5,657,11.2,1536,,,,,,0,7.5,290,452,6.2,290,521,2.7,2375,-9.2,18,1516,37.8,3.1,1013.4,1026.7,811,1022,1531,1024.3,11.6,10.7,1200,3.02,20.75,,,,,,.5,.3,7.6,-2.8,6.5,7.6,8.8,8.5,,,,,,3.3,4.7,,
266,2020-03-06,6.8,-.1,716,13.8,1521,,,,,,,4,160,1345,2.7,140,1351,.9,801,-6.3,10,1522,42,3.9,1011.4,1024.6,916,1019.2,1651,1022.1,11.6,10.6,1200,2.99,20.83,,,,,,2.5,1,8.7,-5.8,7.5,8,8.8,8.5,,,,,,3.1,4.4,,
266,2020-03-07,6.7,4.9,818,9.4,1540,,,,,,6.5,4.7,50,1540,3.6,50,1549,.9,759,3.7,55,7,82,8.1,1007.3,1020.5,3,1015.2,1541,1017.9,11.7,0,1200,.76,3.93,,,,,,8,2.5,6.9,.5,6.6,7.8,8.9,8.7,,,,,,.7,1,,
266,2020-03-08,9.6,3.3,601,16.6,1610,,,,,,,5.1,70,1200,4.1,70,1218,1.2,1017,2.7,32,1544,65.9,7.5,1008.1,1021,941,1017.1,1610,1018.7,11.7,10.6,1200,3.02,20.6,,,,,,1.5,0,10.2,-.9,9.4,9.1,9,8.6,,,,,,3,4.2,,
266,2020-03-09,10.4,6.9,703,13.9,1240,,,,,,5,7.9,50,2352,6.9,50,2355,2.8,2435,6,59,1216,74.9,9.4,1002.8,1019.1,46,1006.7,2356,1013.2,11.7,0,1200,1.19,6.01,,,,,,8.9,3.6,9,2.5,9,9.1,9.5,9.1,,,,,,1.3,1.9,,
266,2020-03-10,8.2,4.2,2329,12.2,1355,,,,,,5.5,10.5,290,1437,8.1,290,1420,3.6,3068,3.9,54,2100,75.5,8.4,996.3,1013,2355,1003.3,1351,1006.8,11.8,.9,1300,2.03,5.48,,,,,,7,3.9,9.1,2.5,9.1,9.8,9.8,9.5,,,,,,1.6,2.3,,
266,2020-03-11,6.3,2.9,649,11.8,1520,,,,,,,7.7,270,921,5.8,270,1202,3.8,3277,-8.4,17,1237,36.3,3.3,1007.2,1022.9,2357,1013,1,1017.8,11.8,10.7,1200,3.2,22.54,,,,,,0,0,7.5,.2,7,7.7,8.7,8.5,,,,,,4.2,6,,
266,2020-03-12,8.1,.9,624,15.6,1534,,,,,,,4.4,250,1504,3.6,250,1611,1.1,935,-5.6,15,1420,39.4,4.1,1012.1,1024.7,1051,1020.8,1459,1022.7,11.8,10.5,1200,3.08,21.73,,,,,,1.4,0,8.9,-3.9,8.1,8.3,8.8,8.5,,,,,,4.2,6.1,,
266,2020-03-13,11,6.6,152,17.6,1507,,,,,,,7.7,290,2322,6.1,290,2343,2.5,2187,-3.3,23,2201,37.5,4.9,1008.8,1022.9,106,1016.2,1905,1019.3,11.9,8.4,1200,2.84,18.23,,,,,,8.5,5,11.1,1.8,11,10.4,9.9,9.5,,,,,,4.3,6.1,,
266,2020-03-14,6.4,1.1,659,11.4,1420,,,,,,,8.4,290,1258,5.9,290,1254,3.7,3200,-11.6,12,1427,28.9,2.6,1005.2,1018.2,838,1013.8,1546,1015.8,11.9,10.8,1200,3.25,22.98,,,,,,2.8,1.6,9.2,-.2,8.8,9.4,10.1,9.8,,,,,,4.5,6.5,,
266,2020-03-15,7.4,2.3,2318,14,1334,,,,,,,11.1,290,1400,8.8,270,1530,3.5,3064,-6.3,20,1124,39.5,3.9,1001.9,1017.2,2357,1008.5,1352,1012.4,12,8.4,1100,2.79,17.25,,,,,,3.8,2.5,8.6,-2.3,8.2,8.4,9.5,9.3,,,,,,4,5.7,,
266,2020-03-16,6.2,.3,653,12.5,1517,,,,,,,7.1,290,54,4.9,290,152,2.2,1894,-8.1,12,1359,37,3.4,1011.2,1024.7,1005,1017.1,56,1022,12,10.4,1200,3.2,22.18,,,,,,2.1,0,9.2,-2.6,8.5,8.6,9.2,8.9,,,,,,3.8,5.4,,
