지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
266,광양시,2023-04-01,16.4,8.9,627,24,1426,,,,,,,6.8,110,1619,3.8,90,1225,1.5,1333,90,2.9,24,1239,42.5,7.6,1005.9,1018.1,30,1013.8,1545,1016.3,12.6,10.6,1200,3.17,22.12,,,,,,2.4,0,17.8,6.2,17.1,16.1,15.8,15.1,,,,,,5.4,7.7,,,
266,광양시,2023-04-02,17.2,12,644,23.2,1523,,,,,,,12.4,70,2147,6.7,90,1117,3.4,2960,70,.3,21,1535,32.8,6.3,1008.1,1021,2256,1016.2,348,1018.5,12.6,11.4,1200,3.38,24.76,,,,,,0,0,18.1,7.6,18,16.7,16.3,15.5,,,,,,6.7,9.5,,,
266,광양시,2023-04-03,15.6,10.9,353,21.8,1407,,,,,,,12,90,857,7,70,1022,3.4,2911,70,2.7,28,1443,43.1,7.4,1011.8,1024.1,1003,1020.4,116,1022.3,12.6,11.2,1200,3.32,24.71,,,,,,3.4,0,18.3,7,17.8,17,16.6,15.9,,,,,,5.4,7.7,,,
266,광양시,2023-04-04,14.9,11.1,615,18.8,1214,,.3,2031,1,2035,2.8,9.2,140,2338,4.7,160,2340,2.7,2291,70,8.8,50,1037,68.3,11.7,1010.1,1023.6,1,1017.9,1750,1020.6,12.7,1.8,1100,2.28,10.68,,,,,,8.9,3,15.8,9.3,15.6,15.8,16.2,15.8,,,,,,1.9,2.7,,,
266,광양시,2023-04-05,14.4,11.1,2358,16,1427,,2.2,1217,10.4,1128,67.1,10.8,110,823,5.4,140,425,3,2618,140,13.5,82,2344,94.6,15.6,1001.7,1018.1,1,1008.8,1629,1012.2,12.7,0,1600,.35,1.61,,,,,,9.8,5,15,12.1,14.8,15.3,15.6,15.3,,,,,,.6,.9,,,
266,광양시,2023-04-06,11,9.1,410,13.8,1332,,.7,2231,2.4,2205,3.4,8.5,270,205,4.7,270,104,2.7,2336,270,8,72,1337,82,10.7,1001.4,1013.1,915,1010.5,1510,1011.9,12.7,0,1100,1.06,6.42,,,,,,8.9,7.1,13.2,10.2,13,13.6,14.4,14.5,,,,,,1.4,2,,,
266,광양시,2023-04-07,10.9,5.6,2400,17.7,1331,,.2,,.6,17,.8,11.9,270,2151,6.7,320,2243,3.2,2743,290,2.3,32,1051,57.1,7.4,1004,1018.5,2358,1012.5,131,1014.7,12.8,8.8,1200,3.35,21.58,,,,,,3.1,1.9,12.7,4.7,11.9,13.6,14.1,14,,,,,,3.9,5.6,,,
266,광양시,2023-04-08,9.5,3.2,421,16.1,1503,,,,,,,13.9,290,1351,6.5,290,1328,3.1,2697,290,-4.4,16,1628,40,4.5,1009.8,1022.7,1002,1018.4,2,1020.5,12.8,11.3,1300,3.3,25.73,,,,,,.1,.1,11,2.3,10.3,11.8,13,13.3,,,,,,4.9,7,,,
266,광양시,2023-04-09,12.5,4.6,613,20.3,1512,,,,,,,9.7,250,1631,5.1,270,2029,2,1730,290,-2.3,22,1337,37.1,5.2,1009.2,1022.5,701,1016.9,1727,1019.8,12.8,11.5,1200,3.49,26.38,,,,,,0,0,12.9,2.5,12.4,12.8,13.2,13.1,,,,,,5.3,7.6,,,
266,광양시,2023-04-10,13.1,6.5,609,20.3,1533,,,,,,,7.5,180,1722,4,250,1002,1.8,1526,250,3.8,36,1709,54.9,8.3,1007.6,1020.2,539,1015.8,1902,1018.1,12.9,11.2,1200,3.33,24.4,,,,,,1.9,0,14.6,4.2,14.4,13.9,14,13.7,,,,,,4,5.8,,,
